,Frame,Head_X,Head_Y,Chest_X,Chest_Y,Shoulder_R_X,Shoulder_R_Y,Elbow_R_X,Elbow_R_Y,Wrist_R_X,Wrist_R_Y,Shoulder_L_X,Shoulder_L_Y,Elbow_L_X,Elbow_L_Y,Wrist_L_X,Wrist_L_Y,Groin_X,Groin_Y,Hip_R_X,Hip_R_Y,Knee_R_X,Knee_R_Y,Ankle_R_X,Ankle_R_Y,Hip_L_X,Hip_L_Y,Knee_L_X,Knee_L_Y,Ankle_L_X,Ankle_L_Y,Eye_R_X,Eye_R_Y,Eye_L_X,Eye_L_Y,Ear_R_X,Ear_R_Y,Ear_L_X,Ear_L_Y,Ses_L_X,Ses_L_Y,Toes_L_X,Tose_L_Y,Heel_L_X,Heel_L_Y,Ses_R_X,Ses_R_Y,Toes_R_X,Tose_R_Y,Heel_R_X,Heel_R_Y,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,Mid_knuckle_X,Mid_knuckle_Y,10_X,10_Y,11_X,11_Y,Mid_fing_X,Mid_fing_Y,13_X,13_Y,14_X,14_Y,15_X,15_Y,16_X,16_Y,17_X,17_Y,18_X,18_Y,19_X,19_Y,20_X,20_Y
0,0,204.951,214.834,162.08,257.754,153.845,257.744,150.536,326.895,208.214,335.106,168.659,259.301,142.316,330.202,204.908,318.648,107.635,373.029,99.3954,373.028,157.101,453.82,102.705,539.58,114.224,373.042,152.128,453.784,109.311,537.916,199.936,205.008,203.336,206.572,175.252,214.745,0,0,147.191,559.382,145.535,556.035,84.6257,551.123,143.929,559.376,135.657,561.003,89.5241,549.433,214.042,316.483,222.931,343.657,213.534,326.895,224.455,332.737,231.312,333.499,250.613,313.943,253.661,317.245,240.709,316.737,253.153,320.292,256.709,320.292,247.058,324.61,238.931,328.419,236.391,332.229,260.518,328.927,251.121,331.721,245.788,335.022,242.487,338.324,259.756,339.848,256.709,339.34,249.598,346.959,246.804,350.007
1,1,204.958,209.855,163.705,256.068,153.869,256.026,152.221,321.988,209.881,325.249,171.949,257.607,163.711,323.574,204.929,325.248,109.25,371.391,99.4138,369.772,155.456,453.81,102.734,539.573,114.26,371.412,152.166,453.788,109.323,537.907,199.944,203.293,0.0,0.0,176.797,206.598,0,0,147.208,559.372,145.565,556.015,84.6289,551.114,145.585,559.383,135.701,561.008,91.1377,549.436,231.814,343.026,225.036,338.427,214.144,322.694,211.965,320.999,210.271,323.42,252.147,310.591,252.873,307.928,242.948,311.075,235.687,321.725,258.924,315.916,256.746,316.642,249.0,319.305,241.012,326.325,260.376,325.84,251.905,328.019,248.758,332.86,246.095,333.828,260.134,335.281,258.682,340.848,256.262,346.173,255.777,349.078
2,2,204.892,204.998,165.4,254.375,158.752,254.324,155.468,321.912,211.523,321.948,176.896,255.939,183.461,312.074,213.14,310.462,109.324,366.476,99.4578,366.462,153.858,453.763,102.698,539.579,117.554,366.492,152.154,453.771,109.315,536.316,198.298,201.586,203.308,203.195,175.229,204.887,0,0,145.588,559.37,143.912,554.41,84.6209,551.113,145.544,559.37,135.672,560.999,89.5294,549.437,219.347,309.548,226.297,305.08,215.375,316.996,213.389,314.761,212.396,318.237,215.127,315.258,240.199,313.024,215.127,313.272,212.893,318.981,233.993,313.768,238.957,313.272,228.78,322.953,212.893,318.733,232.503,315.01,240.695,315.01,239.454,320.967,212.893,318.981,217.113,316.996,213.389,303.591,213.141,318.237,212.148,318.733
3,3,204.858,203.29,165.369,246.191,160.378,246.149,160.367,313.755,216.389,321.871,176.845,247.76,185.132,308.81,213.144,307.12,110.984,364.821,102.689,364.817,153.793,452.199,101.064,541.194,122.45,364.841,150.557,453.793,107.65,537.921,196.682,195.023,203.29,199.931,175.19,203.217,0,0,147.217,559.399,145.551,556.059,84.5602,551.124,142.293,559.374,134.049,561.01,87.8835,549.466,229.669,309.668,237.357,305.452,226.692,301.732,235.373,295.532,231.653,294.044,216.276,309.668,233.885,297.02,217.268,307.684,214.044,313.885,235.869,309.42,245.045,309.42,227.684,317.357,215.532,313.637,232.397,311.156,243.557,309.916,215.78,313.389,214.54,313.637,223.716,311.652,215.78,313.141,214.044,309.668,214.292,313.389
4,4,203.299,201.604,165.288,244.432,162.048,244.43,162.072,308.786,214.777,310.498,171.947,244.426,176.866,310.464,206.61,312.066,110.96,363.13,106.03,363.14,153.797,452.182,102.695,541.206,117.54,363.141,142.301,453.814,107.625,536.298,193.442,191.754,203.202,191.763,175.18,196.694,0,0,145.583,559.371,143.933,554.39,84.5677,551.09,145.559,559.385,135.678,561.025,89.5147,549.474,233.114,316.965,239.488,296.426,219.893,306.105,226.74,296.662,229.809,289.343,219.657,304.453,223.198,300.203,220.601,302.092,216.352,307.994,226.267,303.508,247.988,299.022,231.225,311.299,216.116,307.522,227.448,304.216,244.682,302.328,244.21,303.036,216.116,307.758,217.296,305.161,216.588,306.341,213.283,298.786,216.116,307.522
5,5,203.223,194.999,163.748,242.789,160.363,242.787,161.997,307.068,216.434,308.724,171.923,242.772,158.758,312.052,206.576,310.423,114.252,361.539,109.31,361.568,152.233,452.165,101.088,541.192,124.134,361.55,150.457,452.211,107.664,536.305,191.809,190.058,201.62,190.055,170.298,193.418,0,0,147.19,559.391,145.556,556.027,84.5537,551.131,143.914,559.391,134.055,561.02,87.9008,549.467,239.352,288.748,237.7,288.984,222.604,300.779,220.481,291.815,221.66,300.307,221.896,299.127,221.896,294.646,220.245,296.533,220.009,303.373,223.547,299.127,240.767,300.307,230.388,306.204,220.245,302.902,228.265,298.892,246.428,297.004,232.039,307.619,220.952,304.317,220.245,300.779,220.245,302.43,220.009,303.138,218.593,302.194
6,6,201.578,191.824,163.647,241.207,158.765,242.744,163.739,305.496,219.773,300.514,165.393,241.166,178.53,307.125,214.796,298.912,119.17,359.897,112.565,361.488,157.102,452.143,101.091,539.545,125.767,359.877,148.822,453.777,107.614,537.897,191.682,188.441,199.971,188.429,167.008,191.773,0,0,147.193,559.397,145.548,556.035,84.5347,551.119,143.916,559.386,135.649,561.017,87.8957,549.434,261.588,310.647,239.65,290.326,243.807,277.394,235.031,279.934,228.566,286.631,223.716,294.251,226.025,292.173,231.337,284.553,221.407,297.946,224.409,294.021,255.122,288.247,220.252,290.095,222.562,297.715,264.59,287.555,260.895,288.709,252.12,295.406,222.562,298.87,266.899,294.944,222.562,296.33,266.899,288.016,254.198,296.33
7,7,196.644,191.745,163.651,241.127,158.762,241.177,165.389,308.693,226.36,297.243,165.408,239.51,183.469,307.142,219.739,300.513,120.829,361.516,114.251,361.552,162.03,450.563,102.7,539.532,125.769,361.492,142.296,453.876,107.655,537.909,190.018,186.801,193.381,188.348,165.342,191.737,0,0,147.219,560.94,145.542,556.062,84.5968,551.127,143.9,559.379,135.642,561.004,89.5014,549.441,242.688,293.971,238.895,291.442,225.746,282.844,225.999,281.58,227.263,290.936,226.251,288.155,243.699,272.477,246.987,271.212,225.493,293.718,261.906,275.005,255.332,275.005,254.573,276.017,229.033,290.683,266.964,274.752,257.607,278.798,257.86,278.798,258.113,286.89,267.216,275.258,264.941,274.752,264.182,278.293,264.182,278.293
8,8,193.379,191.653,163.647,241.135,157.109,241.18,166.972,307.061,224.721,293.912,167.031,239.513,178.526,305.457,219.802,292.292,124.078,361.532,115.92,361.569,163.64,452.136,104.349,541.201,129.068,361.502,145.595,453.877,109.268,539.559,188.402,185.108,191.738,188.346,163.687,191.699,0,0,148.826,560.954,147.183,557.661,84.6233,551.131,143.925,559.403,135.672,561.041,91.1547,549.484,243.779,282.73,244.512,275.154,241.579,267.334,239.624,266.845,239.868,267.09,228.627,286.151,241.335,268.067,239.135,273.443,236.692,275.154,265.039,269.045,260.152,271.733,240.357,275.887,234.248,279.064,267.728,269.045,264.551,275.154,262.107,277.353,234.492,279.308,273.593,276.62,231.071,284.929,223.251,284.196,223.495,283.952
9,9,191.728,191.722,162.014,239.54,153.861,241.149,175.232,298.876,229.697,289.004,165.387,237.892,168.658,308.76,224.682,295.533,124.138,363.128,119.217,363.188,163.719,452.168,101.107,541.228,130.708,361.515,150.543,455.443,110.901,537.952,185.109,186.798,190.141,190.003,162.082,191.706,0,0,148.86,560.993,147.197,557.697,84.6226,551.08,140.647,560.953,132.408,561.039,87.8993,549.457,245.186,272.197,260.542,261.81,247.896,260.455,244.961,261.358,241.122,263.616,227.347,268.584,230.508,282.359,229.153,275.133,228.702,281.23,229.605,279.198,230.96,282.359,268.897,271.52,259.639,279.423,276.123,281.456,228.928,282.811,267.316,284.617,259.639,281.682,279.511,281.456,275.22,290.037,273.413,290.263,271.833,290.714
