,frame,shoulder_flexion,elbow_flexion,knee_flexion,trunk flexion,wrist_flexion,finger_flexion,ball_from_body,ball_height
0,0,19.10291153388593,95.36253033445479,112.07750838356336,123.24044897842852,154.91126222709278,13.448011730821596,94.55615900088158,335.106
1,1,19.713478921400807,91.80576832122733,114.72124050148747,125.44753075147055,165.98835893429043,19.386988516074553,89.04587510379129,325.249
2,2,21.0024769591171,87.25506818020278,117.26989996002567,126.39375856021087,159.95962580218352,353.2376993332088,85.77752512750641,321.948
3,3,22.588872722750914,98.2338625907363,119.03294985572657,129.26971496673468,139.17138746197563,339.12918600668684,94.1862697265371,321.871
4,4,23.308215562202204,91.88183375686106,121.93155652403414,129.71734430321678,146.82508013043955,350.2608271274998,84.53004238139242,310.498
5,5,22.67714751820666,93.19855273226506,124.77248767557609,134.63484896016703,124.80227220946124,355.36844732307185,86.55428937955647,308.724
6,6,23.206102416503036,89.4512151433592,121.18251685958126,137.10469201856455,130.60765015614862,8.961773718613854,84.01993194474748,300.514
7,7,23.101663752635467,84.9699441465641,118.07635357131045,135.5902567660448,158.60535143556794,353.46711765643596,87.82303775206138,297.243
8,8,23.861601209734044,85.68735638953899,118.56323339935258,138.21830328163045,161.16201110262514,346.35911999509955,85.7440748273605,293.91200000000003
9,9,34.009515417948265,100.04140446068362,118.32033508821794,138.99466677073826,99.73601957834455,89.03324228289601,89.6727378917361,289.004
10,10,35.22917158565155,96.41934710132614,120.5856877347124,140.82015617890863,121.22599136013852,154.49015935400533,88.47672182557399,284.014
11,11,41.15796429126566,96.53306447175964,109.24252309478851,139.5593901307235,190.80616669230506,343.46517247395485,85.1382108926421,274.125
12,12,47.08774198092482,95.64168041501011,108.80709147156057,143.6178312776739,190.93555325880087,345.3136135515432,87.18906822532284,267.579
13,13,51.01774896377002,87.46613477734559,108.67174815215671,147.20218385467388,119.51349161691203,357.98801017328697,83.01320319684093,254.394
14,14,61.071852367048045,85.91663937955195,111.10513632701432,148.0472558661452,117.96554210316256,316.3233193952659,79.08929280882462,241.15200000000002
15,15,73.77914705497187,75.60214404353985,112.05047694875933,148.45622386327204,204.27454402413144,332.99126977436094,71.56134496360445,224.685
16,16,78.72042036038755,69.91956314455649,115.97226996249515,150.73042320972033,141.97583216225252,220.08143839410312,68.24718397120867,209.88400000000001
17,17,89.44199636350594,74.77002304045783,122.24968690416696,156.49478448621525,202.0535244336211,355.6358532507841,72.34202789526984,191.774
18,18,96.15191404008505,72.97542701177974,136.7651145490616,167.32571762009795,122.83905852501908,9.113266169495146,67.25699300444525,176.87900000000002
19,19,98.32885462955026,75.50202574178923,143.61055892337916,167.15037302314673,203.15686397481792,307.49493431842757,72.44452824057868,155.459
20,20,108.00863502396473,87.23049995172181,160.55704107595295,171.22691370385814,107.20607368341129,213.96395378192824,77.0230203835191,135.673
21,21,110.83832830153243,107.7920416860853,162.8157245585746,171.70502988102373,177.90759647423718,311.14134316332564,97.91237133784475,111.015
22,22,121.90982514343362,144.63213669655238,170.93541661713257,177.57520749937422,165.83991462857358,197.2306497287268,113.19708114010717,99.4048
23,23,130.8401165667277,167.31970812179154,173.57649164059998,177.61765110834125,126.54709168186113,10.69625279377477,119.32545715797616,97.6806
24,24,130.16488596028202,169.59802574640747,178.5839752136511,179.4240514164544,182.5206308461137,342.6263899218434,121.57488007911009,96.1275
25,25,128.89977331446025,171.3783656732205,175.7760343716087,179.88632124402562,211.3687604616144,28.723699237035586,120.73249448677849,101.105
26,26,121.63009882554907,162.3877485969741,168.72655940213218,175.75131167005307,163.3226787202491,25.436372667801958,115.80557720593596,110.95
27,27,121.98545997170727,162.5258064405414,169.34909180575042,178.0756802952058,159.40330396292265,66.47760278939528,125.60187170579903,110.96
28,28,118.06288522144827,161.98802712923512,163.54945325231432,178.73375697681482,196.78663365584293,171.0659475978291,122.06132158058918,122.439
29,29,121.94562416283961,155.95342549435696,156.0030350076888,165.4502622791882,199.3410898974457,131.07655114130534,125.91124405707382,117.538
30,30,124.02883722408649,159.63638511671905,153.94077883058895,164.95926260003932,185.95893290436425,140.21956983726585,118.05303110890463,125.78399999999999
31,31,116.85792663424385,159.71185227963574,154.27948662962635,173.50848759454496,202.14411117773398,146.39196556724212,123.42561494681723,129.109
32,32,115.11904874885157,158.28118046555738,154.0178754778999,173.44118803292312,202.52014587260072,88.01263083434024,113.95481143856978,134.04399999999998
33,33,114.15727307109577,154.99655012550483,154.3775756665743,173.40387313597984,171.59598804065473,354.8230131075443,114.02201539176548,132.37
34,34,113.42759813563563,159.46648109803118,154.04505454378628,172.77717664558878,212.8478421280937,264.38711194816597,119.60681991425069,134.012
35,35,114.96740613334018,160.01410717779495,154.70621214824206,171.99807219006206,216.16797262375025,214.7994365124374,117.43615069474988,134.00799999999998
36,36,117.99403006069589,164.12437827725458,156.891281017947,169.89093312364943,186.25072311577537,122.22751673127182,119.44938558653197,134.037
37,37,116.72282987153822,162.962513524924,155.58768919832102,170.48403784526266,183.90560228029264,110.48513206430727,123.11756529837646,134.023
38,38,112.56259173824559,160.77923227261417,155.5882893942232,171.91745422085847,187.89603083097,11.988534758850395,121.71278036426578,137.278
39,39,112.00084636231054,161.0115292977294,154.70594004344338,171.2027411141095,171.6613099773605,94.82847051646341,119.4897131513839,138.934
40,40,112.10836163948714,158.25324285224463,154.79448006476065,170.65708920741196,189.78645969537035,93.43948815576788,122.43663714754666,135.691
